OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
4,2216 38TH STREET NW,,1301,739,6/5/1930 12:00:00 AM,1930,,,,,64376.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.66796875,54.7070582095744
5,2224 38TH STREET NW,,1301,735,6/5/1930 12:00:00 AM,1930,,,,,64380.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.671875,54.7056620422818
6,2222 38TH STREET NW,,1301,736,6/5/1930 12:00:00 AM,1930,,,,,64379.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.5234375,54.690772190752
7,2218 38TH STREET NW,,1301,738,6/5/1930 12:00:00 AM,1930,,,,,64377.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,141.109375,54.3479802856921
8,2220 38TH STREET NW,,1301,737,6/5/1930 12:00:00 AM,1930,,,,,64378.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,140.0703125,54.2428078811078
9,3411 33RD PLACE NW,,2073,4,7/10/1911 12:00:00 AM,1911,,,,,57663.0,Detached,1.0,1.0,building,0.0,Yes,Hunter & Bell,"Taylor, Louise & Chas. H.",1.0,0.0,28.0,48.0,1.0,0.0,2.0,BKRAFT,8/3/2015 4:53:36 PM,0.0,DC Historical Building Permits Database,148,"Taylor, Chas. H.",Hunter & Bell,"Taylor, Chas. H.",frame,dwelling,5000.0,643,,solid,stone,,pitch,stucco,slate,,335.48046875,82.5462046359063
10,1746 MASSACHUSETTS AVENUE NW,,158,17,9/12/1906 12:00:00 AM,1906,,Uzbekistan,,,47526.0,Detached,1.0,1.0,building,0.0,Yes,Bruce Price & de Sibour,"Moore, Clarence, Esq.",1.0,0.0,59.0,100.0,1.0,0.0,5.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,825,"Moore, Clarence, Esq.",Bruce Price & de Sibour,Fuller (Geo. A.) Co.,brick & stone,dwelling,200000.0,380,,solid,concrete,limestone & granite,mansard,brick & stone,slate,steam,1013.89453125,142.540004739871
11,1301 S STREET NW,,238,800,,1874,,,,,,,1.0,,,,Yes,,,,,,,,0.0,,BKRAFT,9/28/2016 7:05:05 PM,0.0,Faetz & Pratt 1874 Real Estate Directory,, ,, ,,,,,,,,,,,,,179.08203125,58.0397463044171
18,3554 APPLETON STREET NW,,1972,28,11/29/1940 12:00:00 AM,1940,,,,,117194.0,Detached,1.0,1.0,building,0.0,,"Miller, Eugene L.","Miller, Eugene L.",2.0,6.0,35.0,24.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,238969,"Miller, Eugene L.","Miller, Eugene L.","Miller, Eugene L.",brick,dwelling,16000.0,639,,,cinder block & brick,,pitch,,slate,hot air,210.6953125,69.2764467069292
19,3548 APPLETON STREET NW,,1972,32,11/29/1940 12:00:00 AM,1940,,,,,117193.0,Detached,1.0,1.0,building,0.0,,"Miller, Eugene L.","Miller, Eugene L.",2.0,6.0,35.0,24.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,238969,"Miller, Eugene L.","Miller, Eugene L.","Miller, Eugene L.",brick,dwelling,16000.0,639,,,cinder block & brick,,pitch,,slate,hot air,199.44140625,66.6495366120317
21,2921 44TH PLACE NW,,1614,84,3/29/1927 12:00:00 AM,1927,,,,,28698.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.","Miller, W. C. & A. N.",1.0,,38.0,26.0,,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,7680,"Miller, W. C. & A. N.","MacNeil, G. E.","Miller, W. C. & A. N.",frame,dwelling,16000.0,352,,solid,concrete,,pitch,,wood shingles,hot water,355.22265625,111.162831972553
22,2627 CONNECTICUT AVENUE NW,,2204,131,9/1/1908 12:00:00 AM,1908,,,,,50759.0,Attached,1.0,1.0,building,0.0,Yes,"Waggaman, Clarke / & Ray","Ansley, Harris C.",1.0,0.0,27.0,45.0,1.0,0.0,3.0,BKRAFT,4/2/2016 3:18:40 PM,0.0,DC Historical Building Permits Database,832,"Ansley, Harris C.","Waggaman, Clarke","Waggaman, Clarke",brick & stone,dwelling,12000.0,480,,solid,concrete,Indiana limestone,mansard,stone,slag & slate,hot water,488.4765625,118.59235969475
24,5014 WARREN STREET NW,,1467,912,,1995,,,,,,,,,,,,,,,,,,,,,emorris,7/14/2016 4:30:45 PM,0.0,,, ,, ,,DCOTR,,,,,,,,,,,411.82421875,85.0874054210604
30,3401 CONNECTICUT AVENUE NW,,2218,31,,1973,,,,,63809.0,Attached,1.0,1.0,building,0.0,No,,,,,,,,,,BKRAFT,3/28/2016 6:25:07 PM,0.0,HPO files,, ,, ,,bank,,,,,,,,,,,685.9921875,109.581877496608
31,1402 30TH STREET NW,,1257,848,5/25/1954 12:00:00 AM,1954,,,,,145063.0,,1.0,1.0,building,0.0,,,"Eldridge, R.",2.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:28 PM,0.0,DC Historical Building Permits Index,A-55028,"Eldridge, R.",, ,,dwelling,0.0,,,,,,,,,,88.96484375,39.3689439367275
32,1400 30TH STREET NW,,1257,847,5/25/1954 12:00:00 AM,1954,,,,,145062.0,,1.0,1.0,building,0.0,,,"Eldridge, R.",2.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:28 PM,0.0,DC Historical Building Permits Index,A-55028,"Eldridge, R.",, ,,dwelling,0.0,,,,,,,,,,91.5546875,39.9950384432135
35,1034 EUCLID STREET NW,,2864,817,7/7/1926 12:00:00 AM,1926,correspondence,,,,11310.0,Attached,1.0,1.0,building,0.0,,"Santmyers, George T.","Ward, W. M.",1.0,72.0,50.0,41.0,24.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,190,"Ward, W. M.","Santmyers, George T.","Ward, W. M.",brick,apartment,50000.0,334,,solid,concrete,,flat,brick,slag,steam,786.4765625,158.115672665691
36,2114 LEROY PLACE NW,,2531,27,2/27/1915 12:00:00 AM,1915,,,,,27733.0,Attached,1.0,1.0,building,0.0,Yes,"Waggaman, Clarke / & Ray","Callaway, Merrell P.",1.0,0.0,25.0,56.0,1.0,0.0,4.0,BKRAFT,4/2/2016 3:18:40 PM,0.0,DC Historical Building Permits Database,3328,"Callaway, Merrell P.","Waggaman, Clarke","Waggaman, Clarke",brick & stone,dwelling,15000.0,832,,solid,concrete,,flat,brick & stone,tin,hot water,415.24609375,103.58795540131
40,5729 POTOMAC AVENUE NW,,1452,71,7/3/1922 12:00:00 AM,1922,,not in tax assessments,,,17232.0,Detached,1.0,1.0,building,0.0,,,"Helsley, O. L.",1.0,0.0,28.0,34.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,44,"Helsley, O. L.",,"Speet, B.",tile,dwelling,6000.0,224,,solid,concrete,,pitch,tile,asphalt shingles,hot water,255.60546875,65.8115684248268
41,4710 WOODWAY LANE NW,,1509,819,7/8/1929 12:00:00 AM,1929,,,,,63081.0,Detached,1.0,1.0,building,0.0,,"MacNeil, G. E.","Miller, W. C. & A. N.",1.0,0.0,94.0,29.0,0.0,0.0,3.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,125193,"Miller, W. C. & A. N.","MacNeil, G. E.","Miller, W. C. & A. N.",stone,dwelling,26500.0,401,,,stone,,pitch,,slate,hot water,463.60546875,108.553789228036
43,1835 18TH STREET NW,Lauriol Plaza,152,200,,1999,,,,,,,1.0,,,,No,,,,,,,,0.0,,BKRAFT,2/29/2016 3:12:48 PM,0.0,Washington Post 08/07/1999 pg. C01,, ,, ,,restaurant,,,,,,,,,,,700.14453125,128.189403213579
44,4717 ELLICOTT STREET NW,,1540,57,9/16/1936 12:00:00 AM,1936,,,,,74162.0,Detached,1.0,1.0,building,0.0,,"van der Sys, J.","Middleton, Frederic A.",1.0,6.0,25.0,43.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,195340,"Middleton, Frederic A.","van der Sys, J.","Middleton, Frederic A.",brick & frame,dwelling,8000.0,563,,,cinder block,,pitch,,slate,hot water,168.6796875,55.4227835444844
45,911 25TH STREET NW,,28,869,3/23/1956 12:00:00 AM,1956,,,,,146891.0,Rowhouse,1.0,1.0,building,0.0,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:31 PM,0.0,DC Historical Building Permits Index,B-9182, ,, ,,dwelling,0.0,,,,,,,,,,102.29296875,45.1731354408996
47,3900 WISCONSIN AVENUE NW,Fannie Mae (Federal National Mortgage Association),1823,801,,1957,,,,,,,,,,,,,,,,,,,,3.0,KWILLIAMS,1/8/2017 12:00:00 AM,0.0,"Evening Star, June 22, 1957 and June 10, 1958",,"Equitable Life Insurance Co,","Chatelain, Leon", ,,office,,,,,,,,,Slate,,3724.23046875,343.689755147206
53,5514 NEVADA AVENUE NW,,1994,10,5/10/1930 12:00:00 AM,1930,,,,,,,,,,,,"Jacobson, Edwin","Jacobson, Edwin",1.0,6.0,26.0,28.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,132767,"Jacobson, Edwin","Jacobson, Edwin","Jacobson, Edwin",brick & frame,dwelling,8000.0,418,,,concrete block&brick,,pitch,,slate surfaced shingles,hot water,210.0859375,68.8878347653518
62,5615 33RD STREET NW,,2022,14,4/19/1923 12:00:00 AM,1923,,,,,14654.0,Detached,1.0,1.0,building,0.0,,Sears Roebuck & Co.,"Kerlin, M.",1.0,0.0,26.0,26.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,9329,"Kerlin, M.",Sears Roebuck & Co.,"Jacobson, Edwin",frame,dwelling,7000.0,239,,solid,concrete,,,,asphalt shingles,hot water,189.63671875,58.5863889524543
63,1441 EUCLID STREET NW,,2665,44,3/27/1939 12:00:00 AM,1939,,,,,109582.0,,1.0,1.0,building,0.0,,"de Ladurantaye, Louis","Howar, A. Joseph",2.0,39.0,50.0,104.0,22.0,0.0,4.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,221258,"Howar, A. Joseph","de Ladurantaye, Louis","Eastern Const. Co., Inc.",brick & tile,apartment,75000.0,611,,,brick & tile,,flat,,slag,steam,620.359375,125.295586061977
64,1439 EUCLID STREET NW,,2665,45,3/27/1939 12:00:00 AM,1939,,,,,109581.0,,1.0,1.0,building,0.0,,"de Ladurantaye, Louis","Howar, A. Joseph",2.0,39.0,50.0,104.0,22.0,0.0,4.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,221258,"Howar, A. Joseph","de Ladurantaye, Louis","Eastern Const. Co., Inc.",brick & tile,apartment,75000.0,611,,,brick & tile,,flat,,slag,steam,622.29296875,124.949479302474
69,1020 19TH STREET NW,,85,61,,1983,,,,,,,,,,,,,,,,,,,,,BKRAFT,2/29/2016 3:07:10 PM,0.0,Yale Robbins Office Buildings August 1996,, ,, ,,office,,,,,,,,,,,2047.00390625,184.210308402728
85,5524 1/2 MACARTHUR BOULEVARD NW,,1445,68,,2004,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:40:15 PM,0.0,DC Office of Tax & Revenue,, ,, ,,dwelling,,,,,,,,,,,245.30078125,67.2994597965998
86,5706 BROAD BRANCH ROAD NW,,1997,27,5/1/1935 12:00:00 AM,1935,,,,,70389.0,Detached,1.0,1.0,building,0.0,,"Phillips, Frank D.","Phillips, Frank D.",1.0,6.0,26.0,33.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,179879,"Phillips, Frank D.","Phillips, Frank D.","Phillips, Frank D.",brick & tile,dwelling,5500.0,532,,,cinder block,,pitch,,slate,hot water,148.1015625,54.1556702129264
94,2300 CALIFORNIA STREET NW,,2519,805,9/2/1921 12:00:00 AM,1921,,,,,19777.0,,1.0,1.0,building,0.0,Yes,"Simmons, S.","Simmons, Mrs. Leo",1.0,0.0,41.0,72.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1803,"Simmons, Mrs. Leo","Simmons, S.","McGee, Edw.",brick,dwelling,11000.0,208,,solid,concrete,,mansard,brick,slate,steam,467.5625,102.540718276589
98,1943 BELMONT ROAD NW,,2545,291,,1995,,,,,,,1.0,,,,No,,,,,,,,0.0,,BKRAFT,9/28/2016 7:40:13 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,164.8515625,57.4130154346768
99,2810 BATTERY PLACE NW,,1409,1,,1975,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:53:04 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,195.7109375,57.7178738054828
100,3101 CHAIN BRIDGE ROAD NW,,1427,30,,2004,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:53:04 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,570.625,109.586337513011
114,1873 MONROE STREET NW,,2615,79,4/16/1915 12:00:00 AM,1915,,,,,27500.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Grimm, N. R.","King, Chas. W., Jr.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4109,"King, Chas. W., Jr.","Grimm, N. R.","King, Chas. W., Jr.",frame,dwelling,10000.0,839,,solid,concrete,,flat,brick,tin,hot water,162.9609375,66.2197194504414
115,1875 MONROE STREET NW,,2615,80,4/16/1915 12:00:00 AM,1915,,,,,27501.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Grimm, N. R.","King, Chas. W., Jr.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4109,"King, Chas. W., Jr.","Grimm, N. R.","King, Chas. W., Jr.",frame,dwelling,10000.0,839,,solid,concrete,,flat,brick,tin,hot water,122.8984375,56.354628167975
116,1877 MONROE STREET NW,,2615,81,4/16/1915 12:00:00 AM,1915,,,,,27502.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Grimm, N. R.","King, Chas. W., Jr.",3.0,0.0,17.0,32.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4109,"King, Chas. W., Jr.","Grimm, N. R.","King, Chas. W., Jr.",frame,dwelling,10000.0,839,,solid,concrete,,flat,brick,tin,hot water,148.43359375,64.6943832191852
118,428 MANOR PLACE NW,,3036,66,11/17/1906 12:00:00 AM,1906,,,,,47835.0,Rowhouse,1.0,1.0,building,0.0,,"Bohn, Joseph, Jr.",Middaugh & Shannon,5.0,0.0,20.0,32.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,1723,Middaugh & Shannon Inc.,"Bohn, Joseph, Jr.",Middaugh & Shannon Inc.,brick & frame,dwelling,15000.0,392,,solid,concrete,,flat,brick,tin,furnace,131.01953125,49.4672453348319
119,432 MANOR PLACE NW,,3036,64,11/17/1906 12:00:00 AM,1906,,,,,47837.0,Rowhouse,1.0,1.0,building,0.0,,"Bohn, Joseph, Jr.",Middaugh & Shannon,5.0,0.0,20.0,32.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,1723,Middaugh & Shannon Inc.,"Bohn, Joseph, Jr.",Middaugh & Shannon Inc.,brick & frame,dwelling,15000.0,392,,solid,concrete,,flat,brick,tin,furnace,90.36328125,39.513459025183
120,434 MANOR PLACE NW,,3036,63,11/17/1906 12:00:00 AM,1906,,,,,47838.0,Rowhouse,1.0,1.0,building,0.0,,"Bohn, Joseph, Jr.",Middaugh & Shannon,5.0,0.0,20.0,32.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,1723,Middaugh & Shannon Inc.,"Bohn, Joseph, Jr.",Middaugh & Shannon Inc.,brick & frame,dwelling,15000.0,392,,solid,concrete,,flat,brick,tin,furnace,136.42578125,53.8540832183776
121,426 MANOR PLACE NW,,3036,67,11/17/1906 12:00:00 AM,1906,,,,,47834.0,Rowhouse,1.0,1.0,building,0.0,,"Bohn, Joseph, Jr.",Middaugh & Shannon,5.0,0.0,20.0,32.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,1723,Middaugh & Shannon Inc.,"Bohn, Joseph, Jr.",Middaugh & Shannon Inc.,brick & frame,dwelling,15000.0,392,,solid,concrete,,flat,brick,tin,furnace,114.5859375,47.278862978353
122,430 MANOR PLACE NW,,3036,65,11/17/1906 12:00:00 AM,1906,,,,,47836.0,Rowhouse,1.0,1.0,building,0.0,,"Bohn, Joseph, Jr.",Middaugh & Shannon,5.0,0.0,20.0,32.0,1.0,0.0,2.0,BKRAFT,4/1/2016 4:31:08 PM,0.0,DC Historical Building Permits Database,1723,Middaugh & Shannon Inc.,"Bohn, Joseph, Jr.",Middaugh & Shannon Inc.,brick & frame,dwelling,15000.0,392,,solid,concrete,,flat,brick,tin,furnace,98.19921875,40.7663932757768
123,2946 NEWARK STREET NW,,2082,40,3/21/1903 12:00:00 AM,1903,,,,,35652.0,Detached,1.0,1.0,building,0.0,Yes,"Sherman, John or Ella B.",Cleveland Park Co./Sherman Family,1.0,0.0,27.0,36.0,1.0,0.0,2.0,BKRAFT,8/4/2015 10:32:09 AM,0.0,DC Historical Building Permits Database,1446,"Sherman, John","Sherman, John",Simpson (John) & Sons,frame,dwelling,5000.0,273,,solid,stone,,pitch,frame,shingles,hot air,302.44921875,73.3585876025512
124,2856 DAVENPORT STREET NW,,2258,98,,1963,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:40:15 PM,0.0,DC Office of Tax & Revenue,, ,, ,,dwelling,,,,,,,,,,,237.56640625,73.0595725014576
126,1605 45TH STREET NW,,1366,9,3/15/1949 12:00:00 AM,1949,,,,,130278.0,Detached,1.0,1.0,building,0.0,,"Shoemaker, Wm. H.","Salyer, Lloyd P.",1.0,5.0,0.0,0.0,1.0,0.0,1.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,315950,"Salyer, Lloyd P.","Shoemaker, Wm. H.","Salyer, Lloyd P.",cinder block,dwelling,10000.0,803,,,cinder block,,pitch,,slate,hot air,251.3515625,70.9343687101854
130,1441 44TH STREET NW,,1324,825,9/9/1935 12:00:00 AM,1935,,,,,71365.0,Detached,1.0,1.0,building,0.0,,"Alexander, Albert E.","Gragg, A. R.",1.0,7.0,26.0,33.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,184252,"Gragg, A. R.","Alexander, Albert E.","Gragg, A. R.",brick,dwelling,5000.0,541,,,Speed tile & brick,,pitch,,slate,hot water,133.2578125,46.5149402876844
137,2612 TILDEN STREET NW,,2232,809,11/14/1925 12:00:00 AM,1925,,,,,8628.0,Detached,1.0,1.0,building,0.0,,"Cooper, James E.","Richards, Joseph",1.0,0.0,91.0,28.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4451,"Richards, Joseph","Cooper, James E.","Sanders, Joseph",stone & tile,dwelling,25000.0,318,,solid,concrete,granite,pitch,stone,slate,hot water,511.9921875,125.610793474926
139,5530 BROAD BRANCH ROAD NW,,1996,14,11/28/1913 12:00:00 AM,1913,,,,,31808.0,Detached,1.0,1.0,building,0.0,,,"Gordon, F. R.",1.0,0.0,30.0,30.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,2391,"Gordon, F. R.",,"Gordon, F. R.",frame,dwelling,4200.0,769,,solid,brick,,pitch,frame,shingles,hot water,241.484375,64.5853865981332
143,1344 27TH STREET NW,,1239,865,11/4/1895 12:00:00 AM,1895,,,,,41753.0,Rowhouse,1.0,1.0,building,0.0,,,"Holmes, R. J.",2.0,0.0,15.0,27.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,739,"Holmes, R. J.",,"Waddy, H. B.",brick,dwelling,1600.0,201,,solid,concrete & brick,,flat,brick,tin,stove(s),79.6328125,40.2945470360738
144,1342 27TH STREET NW,,1239,873,11/4/1895 12:00:00 AM,1895,,,,,41752.0,Rowhouse,1.0,1.0,building,0.0,,,"Holmes, R. J.",2.0,0.0,15.0,27.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,739,"Holmes, R. J.",,"Waddy, H. B.",brick,dwelling,1600.0,201,,solid,concrete & brick,,flat,brick,tin,stove(s),77.21484375,40.7854849234505
147,3201 PROSPECT STREET NW,,,,,1869,,,,,,,1.0,,,,,,"Pettit, Richard",,,,,,0.0,,BKRAFT,8/3/2015 3:21:34 PM,0.0,Assessment of Georgetown DC Real Estate,,"Pettit, Richard",, ,,store-house,,,,,,,,,,,246.9921875,71.299796289669
157,2357 ASHMEAD PLACE NW,,2540,275,6/5/1914 12:00:00 AM,1914,1 is 3 stories,,,,30539.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Geare, R. W.","Geare, R. W.",5.0,0.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5220,"Geare, R. W.","Geare, R. W.","Geare, R. W.",brick,dwelling,28000.0,796,,solid,concrete,,both,brick,tile & tin,hot water,174.38671875,60.6713794706981
158,2355 ASHMEAD PLACE NW,,2540,274,6/5/1914 12:00:00 AM,1914,1 is 3 stories,,,,30538.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Geare, R. W.","Geare, R. W.",5.0,0.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5220,"Geare, R. W.","Geare, R. W.","Geare, R. W.",brick,dwelling,28000.0,796,,solid,concrete,,both,brick,tile & tin,hot water,179.28515625,59.3751958762507
159,2328 20TH STREET NW,,2540,272,6/5/1914 12:00:00 AM,1914,1 is 3 stories,,,,30541.0,Detached,1.0,1.0,building,0.0,Yes,"Geare, R. W.","Geare, R. W.",5.0,0.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5220,"Geare, R. W.","Geare, R. W.","Geare, R. W.",brick,dwelling,28000.0,796,,solid,concrete,,both,brick,tile & tin,hot water,185.01953125,57.1786859017977
160,2359 ASHMEAD PLACE NW,,2540,276,6/5/1914 12:00:00 AM,1914,1 is 3 stories,,,,30540.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Geare, R. W.","Geare, R. W.",5.0,0.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5220,"Geare, R. W.","Geare, R. W.","Geare, R. W.",brick,dwelling,28000.0,796,,solid,concrete,,both,brick,tile & tin,hot water,247.6640625,69.2425432432999
161,2351 ASHMEAD PLACE NW,,2540,273,6/5/1914 12:00:00 AM,1914,1 is 3 stories,,,,30537.0,Rowhouse,1.0,1.0,building,0.0,Yes,"Geare, R. W.","Geare, R. W.",5.0,0.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,5220,"Geare, R. W.","Geare, R. W.","Geare, R. W.",brick,dwelling,28000.0,796,,solid,concrete,,both,brick,tile & tin,hot water,184.88671875,60.8038679490588
164,3341 RESERVOIR ROAD NW,,1295,254,2/23/1950 12:00:00 AM,1950,,,,,143335.0,Rowhouse,1.0,1.0,building,0.0,,,Georgetown Development Corp.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:28 PM,0.0,DC Historical Building Permits Index,A-4462,Georgetown Development Corp.,, ,,dwelling,0.0,,,,,,,,,,133.6953125,54.3615834824365
165,3339 RESERVOIR ROAD NW,,1295,253,2/23/1950 12:00:00 AM,1950,,,,,143334.0,Rowhouse,1.0,1.0,building,0.0,,,Georgetown Development Corp.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:28 PM,0.0,DC Historical Building Permits Index,A-4462,Georgetown Development Corp.,, ,,dwelling,0.0,,,,,,,,,,131.44140625,54.0626718083336
166,3337 RESERVOIR ROAD NW,,1295,252,2/23/1950 12:00:00 AM,1950,,,,,143333.0,Rowhouse,1.0,1.0,building,0.0,,,Georgetown Development Corp.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,BKRAFT,2/29/2016 3:02:28 PM,0.0,DC Historical Building Permits Index,A-4462,Georgetown Development Corp.,, ,,dwelling,0.0,,,,,,,,,,135.7109375,54.6790629751333
168,1856 ONTARIO PLACE NW,,2583,398,3/22/1912 12:00:00 AM,1912,,,,,59289.0,Rowhouse,1.0,1.0,building,0.0,,"Grimm, N. R.","King, Chas. W., Jr.",4.0,0.0,19.0,39.0,1.0,0.0,3.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,4170,"King, Chas. W., Jr.","Grimm, N. R.","King, Chas. W., Jr.",brick,dwelling,25000.0,678,,solid,concrete,,pitch & flat,brick,tin & slate,hot water,193.9921875,72.8848771796161
