OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
4626,4407 18TH STREET NW,,2649,67,2/27/1926 12:00:00 AM,1926,bet Webster & Argyle Ter,,,,9603.0,Detached,1.0,1.0,building,0.0,,"Lamar, W. R.","Sugar, Max",5.0,8.0,23.0,38.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,6890,"Sugar, Max","Lamar, W. R.","Sugar, Max",brick,dwelling,70000.0,324,,solid,concrete,,pitch,brick,slate,hot water,231.3359375,67.4986749893623
4627,4409 18TH STREET NW,,2649,68,2/27/1926 12:00:00 AM,1926,bet Webster & Argyle Ter,,,,9604.0,Detached,1.0,1.0,building,0.0,,"Lamar, W. R.","Sugar, Max",5.0,8.0,23.0,38.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,6890,"Sugar, Max","Lamar, W. R.","Sugar, Max",brick,dwelling,70000.0,324,,solid,concrete,,pitch,brick,slate,hot water,238.76171875,68.2253859884168
4630,3340 RUNNYMEDE PLACE NW,,2009,40,5/6/1936 12:00:00 AM,1936,,,,,73026.0,Detached,1.0,1.0,building,0.0,,"Berry, R. W.","Mikkelson, George F.",1.0,7.0,35.0,26.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,190824,"Mikkelson, George F.","Berry, R. W.",Mikkelson (G. F.) & Son,brick,dwelling,7500.0,555,,,tile,,pitch,,slate,oil,223.2890625,62.5702344806082
4631,3907 ALBEMARLE STREET NW,,1772,5,,2003,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:53:04 PM,0.0,DC Office of Tax & Revenue,, ,, ,,,,,,,,,,,,,186.796875,63.595285450371
4635,3108 DUMBARTON STREET NW,,1232,820,5/1/1883 12:00:00 AM,1883,,,,,101428.0,,1.0,1.0,building,0.0,,"Friebus, Gus.","Moxley, J. R., Agent",2.0,0.0,20.0,37.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1270,"Moxley, J. R., Agent","Friebus, Gus.", ,brick,dwelling,5000.0,72,,solid,brick,,flat,brick,tin,stoves,141.7265625,57.4620479898539
4636,3110 DUMBARTON STREET NW,,1232,817,5/1/1883 12:00:00 AM,1883,,,,,101427.0,,1.0,1.0,building,0.0,,"Friebus, Gus.","Moxley, J. R., Agent",2.0,0.0,20.0,37.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,1270,"Moxley, J. R., Agent","Friebus, Gus.", ,brick,dwelling,5000.0,72,,solid,brick,,flat,brick,tin,stoves,167.046875,64.950785008997
4638,5357 MACARTHUR BOULEVARD NW,,1440,50,,1969,,,,,,,,,,,,,,,,,,,,,BKRAFT,9/28/2016 7:40:15 PM,0.0,DC Office of Tax & Revenue,, ,, ,,dwelling,,,,,,,,,,,266.25390625,74.8179955114375
4639,1846 UPSHUR STREET NW,,2638,860,10/13/1941 12:00:00 AM,1941,,,,,113205.0,Detached,1.0,1.0,building,0.0,,"Brock, George S.","Grimm, J. S.",1.0,6.0,0.0,0.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,248303,"Grimm, J. S.","Brock, George S.",Stone & Shockey,cinder block & brick,dwelling,9000.0,654,,,cinder block,,pitch,,slate,hot air,206.9765625,63.03425711446
4651,3809 T STREET NW,,1310,60,3/3/1930 12:00:00 AM,1930,class 3,,,,63960.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,145.13671875,56.0091273320857
4652,3807 T STREET NW,,1310,59,3/3/1930 12:00:00 AM,1930,class 3,,,,63959.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.",Cooley Bros.,9.0,0.0,0.0,0.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,130949,Cooley Bros.,"Santmyers, George T.",Cooley Bros.,brick,dwelling,75000.0,414,,,tile,,pitch & flat,,tin & slate,hot water,173.6484375,64.3447407072885
